BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Warehouse,1,44476,0,33.0,0.67,56,0.0,30.76,0.93,44476.0,29.7,1368120.5,0.68,0.0,0.32,SOUTH END
NonResidential,Small- and Mid-Sized Office,1,35017,0,66.0,0.77,47,0.0,37.0,0.57,35017.0,27.06,1295485.25,0.7,0.0,0.3,SOUTH END
NonResidential,Other,2,22952,0,98.0,0.84,53,0.0,20.51,1.0,11476.0,9.64,235333.34,0.26,0.0,0.74,SOUTH END
NonResidential,Warehouse,1,21040,0,43.0,0.91,40,0.0,28.14,1.0,21040.0,19.14,592088.12,0.45,0.0,0.55,SOUTH END
NonResidential,Warehouse,2,28032,0,52.0,1.66,65,0.0,47.13,1.07,14016.0,23.3,660532.5,0.39,0.0,0.61,SOUTH END
NonResidential,Other,1,25620,0,82.0,0.8,42,0.0,21.48,1.0,25620.0,20.46,550324.19,0.35,0.0,0.65,SOUTH END
NonResidential,Warehouse,3,33238,0,14.0,0.34,24,0.0,49.11,1.0,11079.33,3.79,544157.33,1.0,0.0,0.0,CENTRAL CITY
NonResidential,K-12 School,4,27800,0,8.0,1.38,104,0.0,42.5,0.4,6950.0,9.59,295357.19,0.45,0.0,0.55,CENTRAL CITY
NonResidential,Mixed Use Property,2,37600,0,0.0,2.49,55,0.0,57.76,0.49,18800.0,46.78,1085875.75,0.22,0.0,0.78,NORTH END
SPS-District K-12,K-12 School,1,42128,0,93.0,1.18,62,0.0,40.57,1.0,42128.0,49.55,1709307.5,0.52,0.0,0.48,NORTH END
SPS-District K-12,K-12 School,2,44753,0,96.0,1.37,84,0.0,36.62,1.04,22376.5,30.62,819345.81,0.34,0.0,0.66,NORTH END
NonResidential,Other,3,33708,0,0.0,0.58,104,0.0,23.33,1.0,11236.0,6.54,262108.0,0.72,0.21,0.07,CENTRAL CITY
NonResidential,Other,2,47237,0,0.0,0.88,68,0.0,126.63,1.01,23618.5,20.85,2990715.0,1.0,0.0,0.0,NORTH END
SPS-District K-12,K-12 School,2,57298,0,91.0,0.19,27,0.0,27.69,1.06,28649.0,5.53,793194.38,1.0,0.0,0.0,NORTH END
NonResidential,Other,3,26373,0,75.0,1.45,78,0.0,36.56,1.0,8791.0,12.73,321412.0,0.29,0.0,0.71,NORTH END
NonResidential,Small- and Mid-Sized Office,2,75868,0,0.0,0.33,60,0.0,47.53,0.66,37934.0,12.57,1802874.88,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Mixed Use Property,2,21656,0,0.0,2.4,69,0.0,74.25,0.26,10828.0,25.94,803986.12,0.45,0.0,0.55,CENTRAL CITY
Nonresidential COS,Other,3,23040,0,0.0,0.13,95,0.0,18.29,1.0,7680.0,0.98,140476.67,1.0,0.0,0.0,NORTH END
NonResidential,Other,2,36771,0,0.0,1.03,60,0.0,148.14,0.95,18385.5,18.98,2723538.25,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,1,24024,0,0.0,0.11,39,0.0,15.64,0.6,24024.0,2.62,375773.59,1.0,0.0,0.0,SOUTH END
NonResidential,Warehouse,1,42420,0,34.0,0.69,63,0.0,22.76,0.65,42420.0,29.39,965425.19,0.49,0.0,0.51,SOUTH END
NonResidential,Other,1,36982,0,0.0,0.19,37,0.0,10.13,0.93,36982.0,6.88,374753.81,0.75,0.0,0.25,SOUTH END
NonResidential,Warehouse,2,23400,0,0.0,0.13,52,0.0,18.77,0.85,11700.0,1.53,219633.45,1.0,0.0,0.0,SOUTH END
NonResidential,Other,2,30720,0,0.0,2.19,68,0.0,54.79,0.92,15360.0,33.58,841532.12,0.29,0.0,0.71,NORTH END
NonResidential,Warehouse,1,35046,0,100.0,0.5,42,0.0,30.34,0.93,35046.0,17.65,1063269.12,0.79,0.0,0.21,SOUTH END
NonResidential,Warehouse,1,25577,0,0.0,0.55,55,0.0,35.02,0.52,25577.0,14.19,895784.69,0.81,0.0,0.19,SOUTH END
NonResidential,Warehouse,1,43380,0,89.0,0.07,42,0.0,9.34,0.99,43380.0,2.82,405062.0,1.0,0.0,0.0,SOUTH END
NonResidential,Small- and Mid-Sized Office,3,20410,0,8.0,3.81,21,0.0,133.28,1.0,6803.33,25.95,906746.08,0.53,0.0,0.47,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,3,24696,6300,87.0,0.18,33,0.0,25.27,0.74,8232.0,1.45,208041.88,1.0,0.0,0.0,NORTH END
SPS-District K-12,K-12 School,1,45174,0,84.0,1.52,60,0.0,43.85,1.0,45174.0,68.89,1980825.25,0.4,0.0,0.6,NORTH END
NonResidential,Other,1,24955,0,47.0,0.88,14,0.0,27.64,1.0,24955.0,21.87,689803.0,0.46,0.0,0.54,NORTH END
NonResidential,Other,2,76475,0,0.0,0.88,55,0.0,23.09,0.59,38237.5,33.66,882906.81,0.32,0.0,0.68,NORTH END
NonResidential,K-12 School,2,32961,0,86.0,1.91,28,0.0,47.73,1.0,16480.5,31.47,786577.5,0.28,0.0,0.72,NORTH END
Nonresidential COS,Other,1,27376,14570,0.0,0.97,12,0.0,39.56,0.47,27376.0,26.67,1082920.12,0.62,0.0,0.38,NORTH END
Campus,K-12 School,1,109794,0,87.0,1.05,66,0.0,30.02,1.0,109794.0,115.34,3296526.25,0.39,0.0,0.61,CENTRAL CITY
NonResidential,Other,3,25200,0,0.0,2.1,105,0.0,49.31,1.0,8400.0,17.67,414222.08,0.23,0.0,0.77,CENTRAL CITY
NonResidential,Mixed Use Property,3,24000,0,0.0,0.38,104,0.0,38.84,0.5,8000.0,3.03,310694.5,0.94,0.0,0.06,CENTRAL CITY
