BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,GHGEmissionsIntensity,Building_Age,Emissions_per_Surface,Energy_per_Surface,GFA-1use_ratio,GFA_per_Floor,Emissions_per_floor,Energy_per_floor,Elec_ratio,steam_ratio,NGas_ratio,District
NonResidential,Other,12,88434,0,60.0,2.83,89,0.0,81.71,1.0,7369.5,20.83,602196.88,0.55,0.28,0.18,CENTRAL CITY
NonResidential,Other,10,61320,0,56.0,4.67,90,0.0,110.81,1.0,6132.0,28.64,679458.4,0.41,0.33,0.27,CENTRAL CITY
NonResidential,Other,11,83008,0,27.0,2.12,90,0.0,69.38,0.98,7546.18,16.01,523526.82,0.49,0.0,0.51,CENTRAL CITY
NonResidential,Other,8,102761,0,0.0,2.16,90,0.0,61.29,1.0,12845.12,27.69,787266.44,0.58,0.36,0.06,CENTRAL CITY
NonResidential,Other,9,65009,0,48.0,5.05,88,0.01,101.46,1.0,7223.22,36.47,732895.28,0.2,0.25,0.55,CENTRAL CITY
SPS-District K-12,K-12 School,2,56228,0,95.0,0.69,55,0.0,27.38,1.05,28114.0,19.26,769739.25,0.61,0.0,0.39,SOUTH END
NonResidential,Other,6,88592,30586,84.0,1.02,15,0.0,41.35,0.65,14765.33,15.0,610589.08,0.62,0.0,0.38,NORTH END
NonResidential,Other,2,67224,0,0.0,0.14,86,0.0,19.49,1.0,33612.0,4.57,655118.31,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Other,8,158676,30301,0.0,1.62,25,0.0,33.58,0.71,19834.5,32.07,666006.44,0.11,0.0,0.89,CENTRAL CITY
NonResidential,Other,5,68410,16200,57.0,1.88,38,0.0,65.15,0.7,13682.0,25.69,891342.9,0.53,0.0,0.47,CENTRAL CITY
SPS-District K-12,K-12 School,2,160645,0,75.0,1.68,67,0.0,42.2,1.02,80322.5,135.09,3389586.5,0.29,0.0,0.71,NORTH END
NonResidential,Small- and Mid-Sized Office,3,87262,0,0.0,1.81,110,0.0,47.51,0.47,29087.33,52.59,1381973.5,0.33,0.0,0.67,CENTRAL CITY
NonResidential,Other,4,81871,0,29.0,2.63,22,0.0,81.45,1.0,20467.75,53.75,1667142.12,0.45,0.0,0.55,NORTH END
NonResidential,Warehouse,2,110356,0,0.0,0.04,61,0.0,2.88,0.24,55178.0,1.96,159182.41,0.88,0.0,0.12,NORTH END
SPS-District K-12,K-12 School,2,54986,0,97.0,0.57,26,0.0,30.01,1.0,27493.0,15.74,825139.62,0.74,0.0,0.26,NORTH END
SPS-District K-12,K-12 School,2,175565,0,88.0,1.52,66,0.0,36.45,1.04,87782.5,133.02,3199563.75,0.25,0.0,0.75,NORTH END
NonResidential,Small- and Mid-Sized Office,2,94900,0,57.0,1.38,55,0.0,65.19,0.59,47450.0,65.28,3093230.75,0.69,0.0,0.31,NORTH END
NonResidential,Small- and Mid-Sized Office,2,52554,0,83.0,1.6,116,0.0,56.16,0.97,26277.0,41.93,1475665.62,0.54,0.0,0.46,SOUTH END
NonResidential,K-12 School,3,175015,0,95.0,1.42,62,0.0,39.97,1.0,58338.33,82.62,2331580.17,0.38,0.0,0.62,NORTH END
NonResidential,Warehouse,3,70586,0,0.0,0.64,105,0.0,30.58,0.54,23528.67,15.14,719543.0,0.69,0.0,0.31,CENTRAL CITY
NonResidential,Other,2,57428,0,0.0,0.58,96,0.0,21.72,0.9,28714.0,16.63,623681.0,0.57,0.0,0.43,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,8,59400,0,14.0,0.6,106,0.0,85.39,0.59,7425.0,4.42,633996.75,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Other,20,98634,10043,71.0,0.6,86,0.0,49.08,0.85,4931.7,2.96,242067.38,0.89,0.0,0.11,CENTRAL CITY
NonResidential,Other,7,71150,0,98.0,1.89,31,0.0,75.17,0.58,10164.29,19.2,764044.14,0.61,0.0,0.39,CENTRAL CITY
NonResidential,Other,7,122810,0,99.0,1.85,108,0.0,43.98,0.72,17544.29,32.45,771611.07,0.24,0.0,0.76,CENTRAL CITY
NonResidential,Other,5,113173,42546,86.0,1.28,57,0.0,46.69,0.62,22634.6,28.96,1056868.7,0.56,0.0,0.44,CENTRAL CITY
NonResidential,Other,7,150453,34735,84.0,1.33,16,0.0,44.63,0.71,21493.29,28.56,959312.43,0.51,0.0,0.49,CENTRAL CITY
NonResidential,Other,6,116300,28200,80.0,1.4,19,0.0,50.11,0.76,19383.33,27.06,971265.92,0.55,0.0,0.45,CENTRAL CITY
NonResidential,Other,6,155602,36744,81.0,0.98,18,0.0,43.94,1.0,25933.67,25.46,1139483.33,0.67,0.0,0.33,NORTH END
NonResidential,K-12 School,3,56072,0,76.0,2.61,105,0.0,57.69,1.0,18690.67,48.78,1078262.58,0.17,0.0,0.83,CENTRAL CITY
NonResidential,Other,4,122942,44891,94.0,1.4,17,0.0,43.41,0.63,30735.5,42.91,1334333.5,0.45,0.0,0.55,NORTH END
NonResidential,Small- and Mid-Sized Office,2,54984,0,71.0,1.6,54,0.0,61.39,1.0,27492.0,43.99,1687605.5,0.59,0.0,0.41,CENTRAL CITY
NonResidential,Other,6,84103,20732,74.0,0.8,8,0.0,44.07,0.75,14017.17,11.18,617683.38,0.76,0.0,0.24,CENTRAL CITY
NonResidential,Other,7,76631,0,71.0,3.43,108,0.0,94.72,1.0,10947.29,37.54,1036965.5,0.37,0.0,0.63,CENTRAL CITY
NonResidential,Retail Store,2,58320,0,96.0,0.67,87,0.0,18.0,1.24,29160.0,19.53,524874.31,0.34,0.0,0.66,CENTRAL CITY
Nonresidential COS,Other,2,52000,0,0.0,1.96,54,0.0,52.43,1.0,26000.0,50.92,1363184.5,0.47,0.44,0.0,NORTH END
Nonresidential COS,Other,1,60696,0,0.0,0.1,88,0.0,14.43,1.78,60696.0,6.11,875943.31,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,2,66240,2352,0.0,0.44,30,0.0,62.9,0.69,33120.0,14.52,2083153.12,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,4,76213,25930,68.0,0.64,46,0.0,45.61,0.64,19053.25,12.19,869053.12,0.85,0.0,0.15,NORTH END
NonResidential,Other,6,96910,36934,56.0,1.57,14,0.0,53.2,0.62,16151.67,25.36,859261.42,0.51,0.0,0.49,NORTH END
NonResidential,Other,4,50017,0,53.0,3.82,54,0.0,108.94,1.0,12504.25,47.8,1362243.75,0.39,0.0,0.61,NORTH END
NonResidential,K-12 School,3,67743,0,34.0,1.16,93,0.0,39.07,1.0,22581.0,26.28,882293.0,0.51,0.0,0.49,CENTRAL CITY
NonResidential,K-12 School,6,194104,0,100.0,1.25,108,0.0,32.04,1.0,32350.67,40.54,1036640.25,0.3,0.0,0.7,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,3,99433,35752,63.0,0.34,13,0.0,49.26,0.64,33144.33,11.38,1632586.67,1.0,0.0,0.0,SOUTH END
SPS-District K-12,K-12 School,1,130862,0,61.0,1.82,59,0.0,49.33,1.03,130862.0,238.48,6456026.0,0.35,0.0,0.65,SOUTH END
SPS-District K-12,K-12 School,3,59955,0,93.0,0.34,27,0.0,27.24,1.0,19985.0,6.83,544466.46,0.88,0.0,0.12,SOUTH END
SPS-District K-12,K-12 School,2,93218,0,86.0,0.91,52,0.0,30.97,1.0,46609.0,42.38,1443696.0,0.51,0.0,0.49,NORTH END
NonResidential,Other,4,56521,0,0.0,0.78,75,0.0,112.48,0.87,14130.25,11.08,1589408.0,1.0,0.0,0.0,NORTH END
NonResidential,Other,2,206934,0,0.0,0.65,87,0.0,20.56,0.58,103467.0,66.79,2126788.75,0.47,0.0,0.53,NORTH END
NonResidential,Other,4,51390,0,89.0,2.48,15,0.0,70.28,1.0,12847.5,31.82,902884.5,0.39,0.0,0.61,NORTH END
SPS-District K-12,K-12 School,2,131013,0,88.0,0.95,53,0.0,29.73,1.01,65506.5,62.46,1947292.25,0.46,0.0,0.54,NORTH END
NonResidential,Other,3,69138,0,78.0,1.29,14,0.0,46.9,1.02,23046.0,29.67,1080819.33,0.56,0.0,0.44,NORTH END
NonResidential,Other,5,190980,0,98.0,0.75,112,0.0,34.07,1.0,38196.0,28.48,1301199.0,0.68,0.0,0.32,CENTRAL CITY
SPS-District K-12,K-12 School,2,55513,0,93.0,0.19,25,0.0,27.27,1.06,27756.5,5.28,756785.38,1.0,0.0,0.0,NORTH END
NonResidential,Other,4,72820,13820,0.0,0.64,106,0.0,27.61,0.8,18205.0,11.56,502613.66,0.65,0.0,0.35,CENTRAL CITY
NonResidential,University,3,63330,0,0.0,1.17,101,0.0,48.31,1.02,21110.0,24.78,1019919.33,0.62,0.0,0.38,CENTRAL CITY
SPS-District K-12,K-12 School,3,78804,0,92.0,0.72,15,0.0,31.71,1.0,26268.0,18.94,833046.67,0.66,0.0,0.34,SOUTH END
SPS-District K-12,K-12 School,3,66994,0,79.0,0.62,14,0.0,35.4,1.0,22331.33,13.91,790434.83,0.77,0.0,0.23,CENTRAL CITY
SPS-District K-12,K-12 School,3,98357,0,88.0,0.96,16,0.0,35.14,1.0,32785.67,31.55,1152043.83,0.56,0.0,0.44,SOUTH END
NonResidential,Small- and Mid-Sized Office,1,54765,0,0.0,1.12,58,0.0,77.67,0.47,54765.0,61.21,4253369.5,0.84,0.0,0.16,SOUTH END
NonResidential,Other,5,89821,0,0.0,1.12,7,0.0,21.71,0.52,17964.2,20.09,390018.5,0.03,0.0,0.97,SOUTH END
NonResidential,University,2,52611,0,0.0,1.98,36,0.0,78.25,1.0,26305.5,52.13,2058435.75,0.6,0.0,0.4,NORTH END
SPS-District K-12,K-12 School,3,62526,0,96.0,0.86,14,0.0,31.76,1.0,20842.0,18.02,662031.62,0.56,0.0,0.44,NORTH END
NonResidential,Small- and Mid-Sized Office,3,64015,0,21.0,0.77,9,0.0,50.65,0.47,21338.33,16.53,1080692.58,0.82,0.0,0.18,SOUTH END
NonResidential,Other,3,54224,0,0.0,4.27,52,0.0,133.98,0.87,18074.67,77.18,2421726.0,0.46,0.0,0.54,NORTH END
NonResidential,Other,3,55442,0,72.0,1.51,20,0.0,57.56,0.52,18480.67,27.9,1063742.75,0.58,0.0,0.42,NORTH END
NonResidential,Warehouse,5,84870,0,0.0,0.6,106,0.0,16.28,1.01,16974.0,10.22,276318.03,0.35,0.0,0.65,CENTRAL CITY
SPS-District K-12,K-12 School,2,173185,0,79.0,1.4,64,0.0,35.38,1.0,86592.5,121.18,3063885.75,0.29,0.0,0.71,SOUTH END
SPS-District K-12,K-12 School,1,145341,0,75.0,1.42,53,0.0,37.84,0.96,145341.0,206.01,5499097.0,0.34,0.0,0.66,SOUTH END
NonResidential,Warehouse,4,114297,0,61.0,0.61,112,0.0,18.37,1.0,28574.25,17.36,525024.44,0.43,0.0,0.57,SOUTH END
NonResidential,Warehouse,1,234144,0,87.0,1.27,79,0.0,28.8,1.0,234144.0,297.43,6744317.0,0.2,0.0,0.8,SOUTH END
NonResidential,Retail Store,1,64984,0,72.0,0.55,50,0.0,45.31,1.01,64984.0,35.78,2944296.25,0.89,0.0,0.11,SOUTH END
SPS-District K-12,K-12 School,1,46797,0,86.0,1.57,58,0.0,44.36,1.0,46797.0,73.47,2075891.0,0.38,0.0,0.62,SOUTH END
NonResidential,Other,3,56000,0,0.0,1.06,43,0.0,33.06,1.0,18666.67,19.78,617086.83,0.46,0.0,0.54,NORTH END
SPS-District K-12,K-12 School,2,67371,0,92.0,0.69,12,0.0,31.59,1.0,33685.5,23.18,1064229.5,0.68,0.0,0.32,SOUTH END
NonResidential,Warehouse,2,52088,0,0.0,0.94,47,0.0,26.45,1.0,26044.0,24.5,688759.75,0.38,0.0,0.62,SOUTH END
SPS-District K-12,K-12 School,3,127776,0,75.0,0.63,6,0.0,37.16,1.0,42592.0,26.69,1582712.33,0.79,0.0,0.21,CENTRAL CITY
Nonresidential COS,Warehouse,2,50292,0,0.0,0.06,90,0.0,8.56,0.84,25146.0,1.5,215236.84,1.0,0.0,0.0,NORTH END
SPS-District K-12,K-12 School,2,67235,0,89.0,0.73,17,0.0,33.97,1.0,33617.5,24.56,1142066.88,0.69,0.0,0.31,NORTH END
SPS-District K-12,K-12 School,3,58118,0,97.0,0.37,25,0.0,24.21,1.02,19372.67,7.1,469092.42,0.82,0.0,0.18,SOUTH END
NonResidential,Other,4,64893,0,70.0,3.21,48,0.0,95.51,1.0,16223.25,52.06,1549456.25,0.42,0.0,0.58,NORTH END
SPS-District K-12,K-12 School,1,70762,0,87.0,2.39,91,0.0,50.97,1.0,70762.0,168.88,3606416.0,0.14,0.0,0.86,SOUTH END
NonResidential,Small- and Mid-Sized Office,3,44558,0,78.0,0.63,116,0.0,37.64,0.77,14852.67,9.42,559000.75,0.79,0.0,0.21,CENTRAL CITY
Nonresidential COS,Warehouse,2,58640,0,0.0,0.47,51,0.0,67.0,0.7,29320.0,13.7,1964347.62,1.0,0.0,0.0,SOUTH END
NonResidential,Warehouse,4,79600,0,34.0,0.21,100,0.0,30.29,1.0,19900.0,4.2,602850.56,1.0,0.0,0.0,SOUTH END
SPS-District K-12,K-12 School,1,71714,0,87.0,0.51,17,0.0,33.07,1.0,71714.0,36.24,2371358.0,0.82,0.0,0.18,SOUTH END
NonResidential,Warehouse,3,75397,8161,91.0,0.13,25,0.0,7.28,0.89,25132.33,3.21,183060.46,0.77,0.0,0.23,CENTRAL CITY
NonResidential,K-12 School,2,55653,0,98.0,1.31,88,0.0,24.75,1.0,27826.5,36.44,688813.5,0.0,0.0,1.0,NORTH END
NonResidential,Small- and Mid-Sized Office,5,50759,0,62.0,0.97,44,0.0,62.0,0.93,10151.8,9.82,629408.4,0.81,0.0,0.19,NORTH END
NonResidential,Other,2,56772,0,46.0,1.49,64,0.0,42.97,1.0,28386.0,42.28,1219742.38,0.4,0.0,0.6,NORTH END
NonResidential,Other,3,103000,0,42.0,1.46,64,0.0,47.13,1.0,34333.33,49.98,1618143.17,0.48,0.0,0.52,NORTH END
SPS-District K-12,K-12 School,3,75174,0,77.0,0.96,15,0.0,36.37,1.0,25058.0,23.95,911282.0,0.58,0.0,0.42,NORTH END
SPS-District K-12,K-12 School,3,75214,0,88.0,0.58,13,0.0,31.03,1.0,25071.33,14.66,778086.67,0.74,0.0,0.26,NORTH END
SPS-District K-12,K-12 School,3,134918,0,91.0,0.51,11,0.0,28.33,1.0,44972.67,23.14,1274034.17,0.76,0.0,0.24,SOUTH END
SPS-District K-12,K-12 School,2,64414,0,67.0,0.25,25,0.0,35.63,1.01,32207.0,8.0,1147588.25,1.0,0.0,0.0,CENTRAL CITY
SPS-District K-12,K-12 School,3,92437,0,78.0,2.17,89,0.0,50.05,1.0,30812.33,67.02,1542147.67,0.21,0.0,0.79,NORTH END
NonResidential,Other,7,128766,0,0.0,0.44,102,0.0,47.04,0.85,18395.14,8.17,865344.29,0.95,0.0,0.05,CENTRAL CITY
NonResidential,Other,1,76086,0,0.0,1.33,43,0.0,42.95,1.02,76086.0,101.41,3267564.0,0.48,0.0,0.52,NORTH END
NonResidential,Small- and Mid-Sized Office,4,56500,0,98.0,0.78,102,0.0,24.43,0.58,14125.0,11.06,345073.41,0.64,0.36,0.0,CENTRAL CITY
NonResidential,Warehouse,4,203504,0,72.0,0.13,8,0.0,18.6,0.78,50876.0,6.6,946320.62,1.0,0.0,0.0,SOUTH END
NonResidential,Small- and Mid-Sized Office,4,77662,18504,57.0,0.88,35,0.0,64.48,0.8,19415.5,17.05,1251850.25,0.86,0.0,0.14,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,10,63409,7757,90.0,2.69,90,0.0,54.32,0.71,6340.9,17.05,344427.0,0.39,0.61,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,5,73399,0,61.0,0.36,100,0.0,51.19,0.7,14679.8,5.24,751401.2,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,7,89550,0,85.0,0.58,116,0.0,43.59,0.72,12792.86,7.38,557608.54,0.91,0.09,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,6,89355,0,66.0,0.36,116,0.0,46.76,0.92,14892.5,5.33,696372.25,0.99,0.0,0.01,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,6,91091,1392,0.0,0.51,66,0.0,20.15,0.98,15181.83,7.76,305967.48,0.74,0.26,0.0,CENTRAL CITY
NonResidential,Large Office,8,157941,62993,81.0,0.17,48,0.0,23.7,0.54,19742.62,3.26,467903.56,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,7,114395,8296,99.0,0.61,107,0.0,24.01,0.84,16342.14,10.02,392365.82,0.6,0.0,0.4,CENTRAL CITY
NonResidential,Retail Store,2,89200,0,83.0,1.0,38,0.0,72.44,1.0,44600.0,44.74,3230968.5,0.85,0.0,0.15,NORTH END
NonResidential,Small- and Mid-Sized Office,5,99005,0,70.0,1.2,55,0.0,47.76,0.8,19801.0,23.81,945697.7,0.61,0.0,0.39,NORTH END
NonResidential,Large Office,6,135051,44248,88.0,0.23,14,0.0,32.77,0.71,22508.5,5.14,737689.33,1.0,0.0,0.0,NORTH END
NonResidential,Large Office,5,220649,82720,93.0,0.22,14,0.0,31.93,0.66,44129.8,9.82,1409269.1,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,5,93660,0,0.0,0.07,52,0.0,9.32,1.0,18732.0,1.22,174644.38,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,3,192630,48512,94.0,0.24,69,0.0,27.81,0.76,64210.0,15.34,1785944.33,0.96,0.0,0.04,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,5,50176,0,77.0,0.5,116,0.0,58.46,1.0,10035.2,4.98,586657.75,0.97,0.0,0.03,CENTRAL CITY
NonResidential,Warehouse,1,128800,0,97.0,0.61,39,0.0,14.05,0.93,128800.0,78.92,1809101.5,0.21,0.0,0.79,SOUTH END
NonResidential,Mixed Use Property,1,88400,0,42.0,1.31,46,0.0,49.58,0.38,88400.0,116.03,4383100.5,0.58,0.0,0.42,SOUTH END
NonResidential,Warehouse,1,52311,0,96.0,0.93,56,0.0,17.79,0.98,52311.0,48.65,930611.88,0.02,0.0,0.98,NORTH END
NonResidential,Other,5,141131,69710,0.0,0.15,7,0.0,21.86,0.53,28226.2,4.3,617162.8,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,5,176532,70067,60.0,0.23,15,0.0,32.87,0.59,35306.4,8.09,1160681.8,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Warehouse,1,52500,0,2.0,1.34,43,0.0,75.99,0.94,52500.0,70.47,3989399.0,0.77,0.0,0.23,NORTH END
NonResidential,Warehouse,2,57300,0,55.0,2.73,57,0.0,79.59,0.51,28650.0,78.33,2280246.0,0.41,0.0,0.59,NORTH END
NonResidential,Large Office,10,135918,0,91.0,1.43,58,0.0,47.26,1.06,13591.8,19.37,642355.65,0.67,0.33,0.0,CENTRAL CITY
NonResidential,Retail Store,4,79957,0,25.0,0.46,102,0.0,65.69,0.45,19989.25,9.15,1313032.75,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,10,132326,0,72.0,0.49,90,0.0,45.56,0.7,13232.6,6.52,602902.0,0.95,0.05,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,8,60660,0,0.0,0.3,96,0.0,42.63,0.69,7582.5,2.25,323264.5,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,14,137350,0,89.0,1.48,87,0.0,46.35,0.91,9810.71,14.5,454720.32,0.65,0.35,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,4,63540,0,72.0,1.18,110,0.0,55.37,0.89,15885.0,18.71,879614.88,0.69,0.0,0.31,CENTRAL CITY
NonResidential,Large Office,10,130893,0,80.0,0.37,89,0.0,53.19,0.67,13089.3,4.85,696207.3,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Mixed Use Property,5,79920,0,0.0,0.26,106,0.0,37.66,0.5,15984.0,4.2,601892.75,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Other,4,267335,166960,0.0,0.55,20,0.0,27.21,0.62,66833.75,36.94,1818288.88,0.71,0.0,0.29,CENTRAL CITY
NonResidential,Large Office,12,115857,15140,89.0,0.29,30,0.0,41.06,0.9,9654.75,2.76,396441.62,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,4,87500,17500,72.0,0.36,17,0.0,52.0,0.8,21875.0,7.93,1137473.0,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,11,102846,0,96.0,2.74,93,0.0,51.8,0.91,9349.64,25.6,484295.41,0.35,0.65,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,4,52800,0,83.0,0.84,91,0.0,46.0,0.74,13200.0,11.12,607255.25,0.75,0.0,0.25,CENTRAL CITY
NonResidential,Other,9,46710,0,0.0,2.8,28,0.0,89.26,1.0,5190.0,14.52,463270.17,0.65,0.35,0.0,CENTRAL CITY
NonResidential,Warehouse,1,123061,0,59.0,0.11,15,0.0,16.15,1.0,123061.0,13.86,1987934.62,1.0,0.0,0.0,SOUTH END
NonResidential,Other,1,59090,0,45.0,1.98,53,0.0,46.64,0.68,59090.0,117.11,2756214.75,0.23,0.0,0.77,SOUTH END
NonResidential,Warehouse,1,106000,0,93.0,0.05,53,0.0,7.2,1.0,106000.0,5.32,763364.5,1.0,0.0,0.0,SOUTH END
NonResidential,Other,1,119661,0,97.0,0.05,56,0.0,6.48,0.99,119661.0,5.44,775729.19,1.0,0.0,0.0,SOUTH END
NonResidential,Large Office,7,139200,44728,81.0,0.22,15,0.0,31.2,0.59,19885.71,4.32,620371.0,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,6,95721,33921,95.0,0.22,32,0.0,32.0,1.0,15953.5,3.56,510584.08,1.0,0.0,0.0,NORTH END
NonResidential,Large Office,5,213283,115228,83.0,0.19,20,0.0,26.55,0.49,42656.6,7.89,1132337.9,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,5,74880,0,56.0,0.48,42,0.0,68.57,0.96,14976.0,7.16,1026921.5,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,6,88774,0,53.0,0.47,37,0.0,67.92,0.96,14795.67,7.0,1004853.58,1.0,0.0,0.0,NORTH END
NonResidential,Large Office,5,122250,0,93.0,0.32,33,0.0,45.28,0.75,24450.0,7.72,1107125.2,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,4,53730,0,20.0,0.62,37,0.0,88.27,1.0,13432.5,8.26,1185717.25,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,3,55593,0,55.0,1.68,56,0.0,76.0,1.0,18531.0,31.08,1408290.83,0.67,0.0,0.33,SOUTH END
NonResidential,Large Office,4,134056,60960,54.0,0.24,34,0.0,35.02,0.54,33514.0,8.18,1173784.75,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,4,86995,28800,81.0,0.24,31,0.0,34.39,0.67,21748.75,5.22,747918.69,1.0,0.0,0.0,NORTH END
NonResidential,Large Office,5,184482,66234,95.0,0.22,7,0.0,30.74,0.64,36896.4,8.09,1134251.2,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Large Office,6,139282,52582,96.0,0.16,12,0.0,23.25,0.57,23213.67,3.76,539702.67,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Warehouse,5,127800,0,56.0,0.23,102,0.0,21.65,1.0,25560.0,5.91,553498.2,0.92,0.0,0.08,CENTRAL CITY
NonResidential,Large Office,4,209816,73673,97.0,0.58,10,0.0,32.97,0.54,52454.0,30.67,1729369.62,0.77,0.0,0.23,CENTRAL CITY
NonResidential,Mixed Use Property,3,67380,0,66.0,1.1,62,0.0,40.9,0.44,22460.0,24.7,918609.67,0.57,0.0,0.43,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,5,88062,20826,80.0,0.27,42,0.0,38.79,0.74,17612.4,4.76,683112.25,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,5,87178,20416,69.0,0.29,44,0.0,41.67,0.76,17435.6,5.06,726522.75,1.0,0.0,0.0,NORTH END
NonResidential,Small- and Mid-Sized Office,5,87178,20416,86.0,0.28,46,0.0,40.07,0.77,17435.6,4.87,698618.75,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,2,111445,0,0.0,1.47,70,0.0,51.12,0.0,55722.5,81.92,2848736.25,0.53,0.0,0.47,NORTH END
NonResidential,Warehouse,4,98475,0,83.0,0.23,19,0.0,11.07,1.0,24618.75,5.61,272624.16,0.71,0.0,0.29,SOUTH END
NonResidential,Retail Store,1,63225,0,100.0,0.72,8,0.0,103.16,1.0,63225.0,45.47,6522551.5,1.0,0.0,0.0,SOUTH END
Nonresidential COS,Other,1,113780,0,0.0,1.07,61,0.0,31.42,0.8,113780.0,121.98,3574542.25,0.41,0.0,0.59,SOUTH END
NonResidential,Warehouse,1,243044,0,100.0,0.17,17,0.0,5.74,1.34,243044.0,41.8,1396082.25,0.5,0.0,0.5,SOUTH END
NonResidential,Other,3,66462,12998,0.0,0.72,64,0.0,103.46,1.08,22154.0,15.98,2292146.5,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,3,94400,0,38.0,0.11,17,0.0,8.31,0.71,31466.67,3.41,261454.83,0.87,0.0,0.13,NORTH END
NonResidential,Large Office,3,124071,28645,73.0,0.28,28,0.0,40.23,0.78,41357.0,11.63,1663786.83,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,4,90000,36528,84.0,0.3,16,0.0,43.31,1.0,22500.0,6.79,974434.5,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Small- and Mid-Sized Office,3,96041,33709,70.0,0.39,15,0.0,56.37,0.65,32013.67,12.58,1804472.67,1.0,0.0,0.0,CENTRAL CITY
NonResidential,Warehouse,2,90000,0,87.0,0.19,49,0.0,15.88,0.78,45000.0,8.59,714573.19,0.89,0.0,0.11,SOUTH END
NonResidential,Retail Store,1,50200,0,0.0,0.64,50,0.0,20.87,1.0,50200.0,32.22,1047461.0,0.48,0.0,0.52,SOUTH END
NonResidential,Small- and Mid-Sized Office,6,94033,6200,0.0,1.28,91,0.0,50.6,0.57,15672.17,20.04,793033.0,0.6,0.0,0.4,NORTH END
NonResidential,Warehouse,4,130293,23400,0.0,0.02,28,0.0,3.57,1.0,32573.25,0.81,116383.33,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,4,106041,0,94.0,0.24,19,0.0,10.6,1.0,26510.25,6.4,280985.75,0.66,0.0,0.34,NORTH END
NonResidential,Warehouse,3,94470,0,0.0,0.35,60,0.0,10.59,1.0,31490.0,11.06,333598.96,0.43,0.0,0.57,NORTH END
NonResidential,Retail Store,2,69492,0,100.0,0.03,29,0.0,4.59,1.0,34746.0,1.11,159481.41,1.0,0.0,0.0,NORTH END
NonResidential,Warehouse,1,22780,0,33.0,0.12,50,0.0,17.65,1.0,22780.0,2.8,402051.31,1.0,0.0,0.0,SOUTH END
NonResidential,Other,1,124472,0,62.0,1.91,49,0.0,43.9,1.0,124472.0,237.36,5464762.0,0.21,0.0,0.79,SOUTH END
NonResidential,Other,1,50065,0,72.0,0.85,49,0.0,30.55,1.0,50065.0,42.65,1529510.25,0.55,0.0,0.45,SOUTH END
NonResidential,Other,1,57540,0,26.0,1.33,47,0.0,44.89,1.0,57540.0,76.68,2582687.0,0.51,0.0,0.49,SOUTH END
NonResidential,Warehouse,1,85400,0,49.0,0.13,50,0.0,18.0,1.0,85400.0,10.72,1536998.25,1.0,0.0,0.0,SOUTH END
